sLocation,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
31,K7CFD,444.45000,+,5,Tone,131.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
32,WB7DZG,442.92500,+,5,Tone,107.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
33,KE7AWR,442.42500,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
34,KJ7IY,145.43000,-,0.5999999999999943,TSQL,107.2,107.2,023,NN,023,,FM,5,,1.0W,,,,,
35,W7OTV,223.94000,-,1.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
36,KD7DEG,224.46000,-,1.5999999999999943,Tone,107.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
37,WB6EGS,441.40000,+,5,TSQL,88.5,88.5,023,NN,023,,FM,5,,1.0W,,,,,
38,KR7IS,29.68000,-,0.10000000000000142,TSQL,162.2,162.2,023,NN,023,,FM,5,,1.0W,,,,,
39,WB7DZG,443.85000,+,5,Tone,107.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
40,WA7BND,444.17500,+,5,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
41,WA7DRO,441.65000,+,5,Tone,107.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
42,W7LT,147.18000,+,0.5999999999999943,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
43,KB7APU,442.75000,+,5,TSQL,Restricted,Restricted,023,NN,023,,FM,5,,1.0W,,,,,
44,KB7APU,442.98750,+,5,TSQL,Restricted,Restricted,023,NN,023,,FM,5,,1.0W,,,,,
45,WB7DZG,52.97000,-,1.6999999999999957,TSQL,107.2,107.2,023,NN,023,,FM,5,,1.0W,,,,,
46,KJ7IY,223.96000,-,1.5999999999999943,Tone,107.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
47,WA7LO,444.30000,+,5,TSQL,82.5,82.5,023,NN,023,,FM,5,,1.0W,,,,,
48,KA7AGH,441.32500,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
49,WA7ABU,444.60000,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
50,KB7APU,440.63750,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
51,K7PN,444.15000,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
52,K7JCN,224.30000,-,1.6000000000000227,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
53,K7JCN,224.34000,+,0.4000000000000057,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
54,W7BU,146.66000,-,0.5999999999999943,TSQL,118.8,118.8,023,NN,023,,FM,5,,1.0W,,,,,
55,W7BU,146.74000,-,0.6000000000000227,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
56,W7BU,146.76000,-,0.5999999999999943,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
57,N7XAC,444.50000,+,5,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
58,W7BU,444.77500,+,5,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
59,WA7VE,145.49000,-,0.6000000000000227,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
60,N7PIR,443.87500,+,5,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
61,WA7PIX,147.00000,+,0.5999999999999943,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
62,NA7Q,147.52000,,0,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
63,K7RPT,146.72000,-,0.5999999999999943,TSQL,114.8,114.8,023,NN,023,,FM,5,,1.0W,,,,,
64,W7BU,442.50000,+,5,TSQL,118.8,118.8,023,NN,023,,FM,5,,1.0W,,,,,
65,W7BU,444.85000,+,5,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
66,W7BU,146.80000,-,0.6000000000000227,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
67,,224.28000,-,1.5999999999999943,Tone,103.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
68,,52.81000,-,1.7000000000000028,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
69,NA7Q,147.16000,+,0.5999999999999943,TSQL,118.8,118.8,023,NN,023,,FM,5,,1.0W,,,,,
70,N7EI,146.88000,-,0.5999999999999943,TSQL,114.8,114.8,023,NN,023,,FM,5,,1.0W,,,,,
71,N3EG,441.70000,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
72,N7EI,444.62500,+,5,TSQL,107.2,107.2,023,NN,023,,FM,5,,1.0W,,,,,
73,N7EI,146.68000,-,0.5999999999999943,TSQL,114.8,114.8,023,NN,023,,FM,5,,1.0W,,,,,
74,N7DEM,224.66000,-,1.5999999999999943,TSQL,114.8,114.8,023,NN,023,,FM,5,,1.0W,,,,,
75,AA7BG,441.86250,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
76,W7VER,145.25000,-,0.5999999999999943,Tone,114.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
77,N7EI,224.38000,-,1.5999999999999943,Tone,114.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
78,W7OC,145.19000,-,0.5999999999999943,Tone,146.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
79,K7CCH,146.61000,-,0.6000000000000227,TSQL,110.9,110.9,023,NN,023,,FM,5,,1.0W,,,,,
80,AB7BS,146.92000,-,0.5999999999999943,TSQL,136.5,91.5,023,NN,023,,FM,5,,1.0W,,,,,
81,W7OC,147.28000,+,0.5999999999999943,TSQL,146.2,146.2,023,NN,023,,FM,5,,1.0W,,,,,
82,WA7JAW,440.80000,+,5,Tone,103.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
83,W7OC,444.17500,+,5,Tone,146.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
84,KD7IOP,444.52500,+,5,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
85,W7OC,147.10000,+,0.5999999999999943,TSQL,88.5,88.5,023,NN,023,,FM,5,,1.0W,,,,,
86,AB7BS,146.88000,-,0.5999999999999943,DCS,D023,127.3,D023,NN,023,,FM,5,,1.0W,,,,,
87,W7OC,441.72500,+,5,Tone,131.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
88,K7REA,147.32000,+,0.5999999999999943,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
89,N7CCO,147.38000,+,0.5999999999999943,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
90,N7PIR,444.17500,+,5,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
91,N7CCO,145.21000,-,0.5999999999999943,Tone,141.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
92,N7CCO,441.25000,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
93,KA7GNK,145.21000,-,0.5999999999999943,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
94,K7SEG,146.74000,-,0.6000000000000227,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
95,W7BKG,146.96000,-,0.5999999999999943,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
96,N7UBQ,147.25000,+,0.5999999999999943,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
97,KD7IOP,440.72500,+,5,Tone,114.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
98,W7BKG,146.84000,-,0.5999999999999943,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
99,WA7JAW,147.04000,+,0.5999999999999943,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
100,K6JR,443.80000,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
101,KB7LNR,443.05000,+,5,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
102,W7DCO,145.45000,-,0.5999999999999943,TSQL,103.5,CSQ,023,NN,023,,FM,5,,1.0W,,,,,
103,W7HWY,145.49000,-,0.6000000000000227,TSQL,162.2,162.2,023,NN,023,,FM,5,,1.0W,,,,,
104,W7JVO,146.70000,-,0.5999999999999943,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
105,W7JVO,444.75000,+,5,Tone,156.7,127.3,023,NN,023,,FM,5,,1.0W,,,,,
106,W7DUX,146.90000,-,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
107,W7JVO,146.94000,-,0.5999999999999943,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
108,K7RPT,147.04000,+,0.5999999999999943,Tone,114.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
109,AB7BS,442.12500,+,5,DCS,D125,127.3,D125,NN,023,,FM,5,,1.0W,,,,,
110,KA7QAV,146.64000,-,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
111,KB7LNR,443.65000,+,5,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
112,W7PRA,145.13000,-,0.5999999999999943,DCS,D026,D026,D026,NN,023,,FM,5,,1.0W,,,,,
113,KC7DMF,444.45000,+,5,TSQL,162.2,100.0,023,NN,023,,FM,5,,1.0W,,,,,
114,AA1JW,444.92500,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
115,KB7APU,442.95000,+,5,TSQL,Restricted,Restricted,023,NN,023,,FM,5,,1.0W,,,,,
116,W7DCO,442.55000,+,5,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
117,W7JVO,443.75000,+,5,Tone,156.7,127.3,023,NN,023,,FM,5,,1.0W,,,,,
118,W7OC,147.38000,+,0.5999999999999943,TSQL,146.2,146.2,023,NN,023,,FM,5,,1.0W,,,,,
119,AB7BS,145.21000,-,0.5999999999999943,TSQL,136.5,91.5,023,NN,023,,FM,5,,1.0W,,,,,
120,WA7BWT,145.43000,-,0.5999999999999943,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
121,KC7TLY,146.90000,-,0.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
122,KC7UAV,147.12000,+,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
123,WB7RKR,147.24000,+,0.5999999999999943,TSQL,136.5,136.5,023,NN,023,,FM,5,,1.0W,,,,,
124,WB7RKR,224.10000,-,1.5999999999999943,Tone,114.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
125,AB7BS,441.85000,+,5,DCS,D125,D125,D125,NN,023,,FM,5,,1.0W,,,,,
126,W7OC,147.18000,+,0.5999999999999943,Tone,146.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
127,WB6MFV,441.87500,+,5,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
128,WB7RKR,444.62500,+,5,Tone,91.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
129,WA7JAW,440.62500,+,5,Tone,114.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
130,W7PRA,146.70000,-,0.5999999999999943,TSQL,136.5,91.5,023,NN,023,,FM,5,,1.0W,,,,,
131,WB7RKR,444.87500,+,5,Tone,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
132,AB7BS,147.14000,+,0.6000000000000227,TSQL,136.5,91.5,023,NN,023,,FM,5,,1.0W,,,,,
133,K7RBG,147.22000,+,0.5999999999999943,TSQL,67.0,67.0,023,NN,023,,FM,5,,1.0W,,,,,
134,W7OC,444.40000,+,5,,127.3,123.0,023,NN,023,,FM,5,,1.0W,,,,,
135,AB7BS,444.90000,+,5,DCS,D125,127.3,D125,NN,023,,FM,5,,1.0W,,,,,
136,K7BRG,145.47000,-,0.5999999999999943,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
137,KG7YHY,449.25000,-,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
138,N7TZ,441.87500,+,5,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
139,KK7HEP,440.92500,+,5,TSQL,77.0,77.0,023,NN,023,,FM,5,,1.0W,,,,,
140,W7JVO,145.24000,-,0.6000000000000227,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
141,N7LZM,146.64000,-,0.5999999999999943,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
142,N7LZM,147.22000,+,0.5999999999999943,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
143,,145.43000,-,0.5999999999999943,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
144,KF7HPT,146.76000,-,0.5999999999999943,Tone,103.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
145,W7JVO,147.30000,+,0.5999999999999943,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
146,AB7BS,145.11000,-,0.6000000000000227,TSQL,136.5,67.0,023,NN,023,,FM,5,,1.0W,,,,,
147,WA7ROB,145.15000,-,0.5999999999999943,Tone,94.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
148,KF7LN,147.10000,+,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
149,KF7LN,440.95000,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
150,KF7LN,927.16250,-,25,TSQL,151.4,151.4,023,NN,023,,FM,5,,1.0W,,,,,
151,KA7HRC,444.90000,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
152,AF7YV,440.60000,+,5,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
153,N7LF,443.32500,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
154,AB7BS,442.30000,+,5,DCS,D125,D125,D125,NN,023,,FM,5,,1.0W,,,,,
155,W9PCI,147.06000,+,0.5999999999999943,Tone,CSQ,127.3,023,NN,023,,FM,5,,1.0W,,,,,
156,W9PCI,146.62000,-,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
157,WX7MFR,440.70000,+,5,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
158,WA6RHK,440.82500,+,5,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
159,AB7BS,444.82500,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
160,AB7BS,147.16000,+,0.5999999999999943,TSQL,136.5,91.5,023,NN,023,,FM,5,,1.0W,,,,,
161,W9PCI,145.33000,-,0.6000000000000227,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
162,AK7SB,147.10000,+,0.5999999999999943,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
163,K7RVM,147.00000,+,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
164,K7RPT,147.02000,+,0.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
165,WX7MFR,147.26000,+,0.6000000000000227,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
166,KL7VK,443.15000,+,5,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
167,KE7MVI,443.77500,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
168,KB7QMV,145.41000,-,0.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
169,W9PCI,444.10000,+,5,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
170,W9PCI,444.20000,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
171,W9PCI,444.30000,+,5,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
172,KL7VK,147.38000,+,0.5999999999999943,Tone,131.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
173,K7JAX,146.84000,-,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
174,KL7VK,146.72000,-,0.5999999999999943,Tone,131.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
175,K7RVM,444.45000,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
176,KG7FOJ,145.24000,-,0.6000000000000227,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
177,KG7FOJ,444.65000,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
178,KG7FOJ,1293.12500,+,20,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
179,WA6HWW,145.27000,-,0.6000000000000227,TSQL,136.5,136.5,023,NN,023,,FM,5,,1.0W,,,,,
180,KG7FOJ,1248.50000,-,20,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
181,WD7RW,52.81000,-,1.7000000000000028,Tone,103.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
182,WD7FGX,444.25000,+,5,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
183,K7RVM,440.22500,+,5,Tone,131.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
184,,440.72500,+,5,DCS,D023,D023,D023,NN,023,,FM,5,,1.0W,,,,,
185,W9PCI,147.24000,+,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
186,KD7MPA,442.80000,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
187,KL7XL,145.00000,,0,DCS,D503,127.3,D503,NN,023,,FM,5,,1.0W,,,,,
188,KL7XL,439.00000,,0,DCS,D503,127.3,D503,NN,023,,FM,5,,1.0W,,,,,
189,W7JVO,147.18000,+,0.5999999999999943,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
190,K7RPT,442.22500,+,5,Tone,114.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
191,KC7DMF,444.42500,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
192,WB6YQP,145.49000,-,0.6000000000000227,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
193,W7PRA,146.94000,-,0.5999999999999943,DCS,D023,D023,D023,NN,023,,FM,5,,1.0W,,,,,
194,WA6OTP,147.22000,+,0.5999999999999943,Tone,CSQ,127.3,023,NN,023,,FM,5,,1.0W,,,,,
195,K7LIX,147.30000,+,0.5999999999999943,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
196,WB6YQP,147.34000,+,0.5999999999999943,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
197,AB7BS,444.50000,+,5,DCS,D125,D125,D125,NN,023,,FM,5,,1.0W,,,,,
198,AB7BS,440.55000,+,5,Tone,173.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
199,KE7LKX,440.46250,+,5,,127.3,127.3,023,NN,023,,FM,5,,1.0W,,,,,
200,W6PRN,443.52500,+,5,Tone,173.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
201,WD7FGX,52.81000,-,0.5,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
202,W6PRN,444.67500,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
203,W2HR,449.97500,,0,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
204,WA6RHK,440.67500,+,5,Tone,136.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
205,AA1JW,145.47000,-,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
206,W7VW,146.61000,-,0.6000000000000227,TSQL,118.8,118.8,023,NN,023,,FM,5,,1.0W,,,,,
207,W7VW,146.85000,-,0.5999999999999943,TSQL,118.8,118.8,023,NN,023,,FM,5,,1.0W,,,,,
208,W7VW,443.90000,+,5,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
209,K6PRN,443.20000,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
210,AB7BS,147.20000,+,0.6000000000000227,TSQL,136.5,91.5,023,NN,023,,FM,5,,1.0W,,,,,
211,,147.18000,+,0.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
212,KD7TNG,442.52500,+,5,Tone,118.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
213,K7LNK,444.95000,+,5,TSQL,136.5,82.5,023,NN,023,,FM,5,,1.0W,,,,,
214,AB7BS,147.14000,+,0.6000000000000227,TSQL,141.3,91.5,023,NN,023,,FM,5,,1.0W,,,,,
215,W7JVO,147.20000,+,0.6000000000000227,Tone,162.2,127.3,023,NN,023,,FM,5,,1.0W,,,,,
216,KE7QP,145.31000,-,0.5999999999999943,Tone,173.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
217,KE7QP,146.80000,-,0.6000000000000227,Tone,173.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
218,KE7QP,147.34000,+,0.5999999999999943,Tone,173.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
219,AA1JW,145.15000,-,0.5999999999999943,Tone,173.8,127.3,023,NN,023,,FM,5,,1.0W,,,,,
220,W7ARD,53.03000,-,1.7000000000000028,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
221,W7EUG,146.68000,-,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
222,W7PXL,146.72000,-,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
223,W7PRA,441.62500,+,5,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
224,W7ARD,53.07000,-,1.7000000000000028,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
225,W7EUG,145.37000,-,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
226,W7ZQE,146.66000,-,0.5999999999999943,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
227,K7SLA,443.02500,+,5,Tone,156.7,127.3,023,NN,023,,FM,5,,1.0W,,,,,
228,WA7FQD,146.74000,-,0.6000000000000227,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
229,W7NK,146.76000,-,0.5999999999999943,Tone,123.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
230,W7FLO,146.80000,-,0.6000000000000227,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
231,K7TBL,146.88000,-,0.5999999999999943,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
232,N7NPA,146.98000,-,0.5999999999999943,Tone,88.5,127.3,023,NN,023,,FM,5,,1.0W,,,,,
233,W7CQZ,147.08000,+,0.5999999999999943,TSQL,100.0,91.5,023,NN,023,,FM,5,,1.0W,,,,,
234,W7NK,147.26000,+,0.6000000000000227,TSQL,100.0,100.0,023,NN,023,,FM,5,,1.0W,,,,,
235,W7NK,147.36000,+,0.5999999999999943,TSQL,123.0,123.0,023,NN,023,,FM,5,,1.0W,,,,,
236,K7QT,441.12500,+,5,TSQL,141.3,141.3,023,NN,023,,FM,5,,1.0W,,,,,
237,W7PRA,441.67500,+,5,DCS,D023,D023,D023,NN,023,,FM,5,,1.0W,,,,,
238,K7THO,442.12500,+,5,DCS,D125,D125,D125,NN,023,,FM,5,,1.0W,,,,,
239,W7FLO,442.57500,+,5,DCS,D125,D125,D125,NN,023,,FM,5,,1.0W,,,,,
240,W7NK,443.50000,+,5,TSQL,103.5,103.5,023,NN,023,,FM,5,,1.0W,,,,,
241,K7RPT,443.80000,+,5.024999999999977,Tone,100.0,127.3,023,NN,023,,FM,5,,1.0W,,,,,
242,AB7BS,145.13000,-,0.5999999999999943,DCS,D023,D023,D023,NN,023,,FM,5,,1.0W,,,,,
